=== Sheet: Common ===
 | Mã ibom | Mô tả | Mã sản phẩm | Nhãn hiệu | Đơn vị | Ghi chú | Làm rõ logic |  | 
 | EL-210 | Thanh đỡ Busbar 3 rãnh đơn, rãnh 10mm | EL-210 | Master | Cặp (2 cái) |  | Sử dụng khi CB tổng khác ACB
dựa vào độ dày thanh đồng (số phía sau là độ dày) & số cực CB tổng, ví dụ: bus 30x8 & CB tổng 3 pha thì dùng 3 rãnh, 10mm; bus 20x5 & CB tổng 3 pha thì dùng 3 rãnh, 10mm; trường hợp không có rãnh 6 cho option đó thì dùng rãnh 10
Số lượng số lượng tùy chọn, mặc định: 2 |  | 
 | EL-180 | Thanh đỡ Busbar 3 rãnh đơn, rãnh 6mm | EL-180 | Master | Cặp (2 cái) |  |  |  | 
 | EL-295 | Thanh đỡ Busbar 4 rãnh đơn, rãnh 10mm | EL-295 | Master | Cặp (2 cái) |  |  |  | 
 | EL-409 | Thanh đỡ Busbar 4 rãnh kép, rãnh 10mm | EL-409 | China | Cặp (2 cái) |  |  |  | 
 | CHAE004 | Gối đỡ SM-51 | CHAE004 | VN | cái |  | số lượng tùy chọn, mặc định: nếu 800A> CB tổng >=300A, số lượng=5, ngược lại =0 |  | 
 | SM-35-VN | Gối đỡ SM-35 | SM-35-VN | VN | cái |  | số lượng tùy chọn, mặc định: nếu 250A> CB tổng >=100A, số lượng=5, ngược lại =0 |  | 
 |  | Quạt tản nhiệt 120x120 | F2E-120S-230 | LEIPOLE | cái |  | số lượng tùy chọn, mặc định: 0 |  | 
 |  | Quạt tản nhiệt 200x200 | F2E-162B-230 | LEIPOLE | cái |  | số lượng=số khung tủ |  | 
 |  | Đèn chiếu sáng trong tủ dạng LED | FSB509G103-4 | FSL | bộ |  | nếu mặt tủ=1: số lượng=số khung tủ; mặt tủ=2: số lượng=(số khung tủ) x 2 |  | 
 |  | Công tắc hành trình + đế | HY-R704C+MS-10 | Hangyoung | bộ |  | nếu mặt tủ=1: số lượng=số khung tủ; mặt tủ=2: số lượng=(số khung tủ) x 2 |  | 
 | FKL6623.300_7032 | Miệng gió lọc bụi 204x204 (lỗ khoét 177x177), màu RAL7032 | FKL6623.300 | Leipole | Cái |  | Chỉ chọn 1 trong các option này (dựa vào màu sơn tủ)
số mặt cửa =1: Khối lượng = số khung+2
số mặt cửa =2: Khối lượng = (số khung)x2+2 |  | 
 | FKL6623.300_7035 | Miệng gió lọc bụi 204x204 (lỗ khoét 177x177), màu RAL7035 | FKL6623.300 | Leipole | cái |  |  |  | 
 |  | Cảm biến nhiệt độ | BOWU004 | Kacon | Cái |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Cáp CV 2.5-đỏ | CV-2.5-DO | Cadivi | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Cáp CV 2.5-vàng | CV-2.5-V | Cadivi | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Cáp CV 2.5-xanh dương | CV-2.5-XD | Cadivi | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
